test	struct	rep	count	variable	value
insert	rstack	1	1000	seconds	0.033563551
remove	rstack	1	1000	seconds	0.049463849
mix	rstack	1	1000	seconds	0.0377243
insert	rdeque	1	1000	seconds	0.103429197
remove	rdeque	1	1000	seconds	0.187729184
mix	rdeque	1	1000	seconds	0.14589218
insert	rpqueue	1	1000	seconds	0.34931211
remove	rpqueue	1	1000	seconds	0.399435162
mix	rpqueue	1	1000	seconds	0.371042438
insert	rstack	2	1000	seconds	0.03252932
remove	rstack	2	1000	seconds	0.043825146
mix	rstack	2	1000	seconds	0.040923959
insert	rdeque	2	1000	seconds	0.111677202
remove	rdeque	2	1000	seconds	0.169086431
mix	rdeque	2	1000	seconds	0.165329924
insert	rpqueue	2	1000	seconds	0.369097347
remove	rpqueue	2	1000	seconds	0.361133828
mix	rpqueue	2	1000	seconds	0.353056305
insert	rstack	3	1000	seconds	0.032720019
remove	rstack	3	1000	seconds	0.044674113
mix	rstack	3	1000	seconds	0.04233233
insert	rdeque	3	1000	seconds	0.10901243
remove	rdeque	3	1000	seconds	0.176403138
mix	rdeque	3	1000	seconds	0.146054752
insert	rpqueue	3	1000	seconds	0.337194066
remove	rpqueue	3	1000	seconds	0.364016315
mix	rpqueue	3	1000	seconds	0.353728828
insert	rstack	4	1000	seconds	0.032936568
remove	rstack	4	1000	seconds	0.045158672
mix	rstack	4	1000	seconds	0.038472829
insert	rdeque	4	1000	seconds	0.11861319
remove	rdeque	4	1000	seconds	0.189120725
mix	rdeque	4	1000	seconds	0.144996816
insert	rpqueue	4	1000	seconds	0.351136935
remove	rpqueue	4	1000	seconds	0.378143536
mix	rpqueue	4	1000	seconds	0.35079501
insert	rstack	5	1000	seconds	0.037617771
remove	rstack	5	1000	seconds	0.044357112
mix	rstack	5	1000	seconds	0.040209688
insert	rdeque	5	1000	seconds	0.101570098
remove	rdeque	5	1000	seconds	0.18518755
mix	rdeque	5	1000	seconds	0.148419987
insert	rpqueue	5	1000	seconds	0.342928442
remove	rpqueue	5	1000	seconds	0.372802874
mix	rpqueue	5	1000	seconds	0.361610627
insert	rstack	6	1000	seconds	0.039323715
remove	rstack	6	1000	seconds	0.044670877
mix	rstack	6	1000	seconds	0.038122761
insert	rdeque	6	1000	seconds	0.105508233
remove	rdeque	6	1000	seconds	0.176268262
mix	rdeque	6	1000	seconds	0.145132466
insert	rpqueue	6	1000	seconds	0.343726584
remove	rpqueue	6	1000	seconds	0.360450051
mix	rpqueue	6	1000	seconds	0.360862201
insert	rstack	7	1000	seconds	0.033559434
remove	rstack	7	1000	seconds	0.045396768
mix	rstack	7	1000	seconds	0.03749938
insert	rdeque	7	1000	seconds	0.109906628
remove	rdeque	7	1000	seconds	0.173281534
mix	rdeque	7	1000	seconds	0.141566543
insert	rpqueue	7	1000	seconds	0.333608825
remove	rpqueue	7	1000	seconds	0.377369134
mix	rpqueue	7	1000	seconds	0.356514468
insert	rstack	8	1000	seconds	0.033200809
remove	rstack	8	1000	seconds	0.063134476
mix	rstack	8	1000	seconds	0.038644927
insert	rdeque	8	1000	seconds	0.107984066
remove	rdeque	8	1000	seconds	0.172105033
mix	rdeque	8	1000	seconds	0.145168557
insert	rpqueue	8	1000	seconds	0.340352935
remove	rpqueue	8	1000	seconds	0.392812061
mix	rpqueue	8	1000	seconds	0.357681305
insert	rstack	9	1000	seconds	0.032708101
remove	rstack	9	1000	seconds	0.044736626
mix	rstack	9	1000	seconds	0.044798319
insert	rdeque	9	1000	seconds	0.102847051
remove	rdeque	9	1000	seconds	0.169696406
mix	rdeque	9	1000	seconds	0.152527257
insert	rpqueue	9	1000	seconds	0.351209047
remove	rpqueue	9	1000	seconds	0.365880444
mix	rpqueue	9	1000	seconds	0.351743048
insert	rstack	10	1000	seconds	0.033108825
remove	rstack	10	1000	seconds	0.044315859
mix	rstack	10	1000	seconds	0.037995109
insert	rdeque	10	1000	seconds	0.12189229
remove	rdeque	10	1000	seconds	0.171446878
mix	rdeque	10	1000	seconds	0.174266596
insert	rpqueue	10	1000	seconds	0.340721124
remove	rpqueue	10	1000	seconds	0.370062445
mix	rpqueue	10	1000	seconds	0.355676573
insert	rstack	1	2000	seconds	0.065564786
remove	rstack	1	2000	seconds	0.089913243
mix	rstack	1	2000	seconds	0.083575597
insert	rdeque	1	2000	seconds	0.201772657
remove	rdeque	1	2000	seconds	0.3266193
mix	rdeque	1	2000	seconds	0.267240463
insert	rpqueue	1	2000	seconds	0.681633249
remove	rpqueue	1	2000	seconds	0.714521866
mix	rpqueue	1	2000	seconds	0.721215762
insert	rstack	2	2000	seconds	0.064439566
remove	rstack	2	2000	seconds	0.088515326
mix	rstack	2	2000	seconds	0.074365265
insert	rdeque	2	2000	seconds	0.205745574
remove	rdeque	2	2000	seconds	0.324145373
mix	rdeque	2	2000	seconds	0.261914362
insert	rpqueue	2	2000	seconds	0.709422114
remove	rpqueue	2	2000	seconds	0.723065009
mix	rpqueue	2	2000	seconds	0.727785904
insert	rstack	3	2000	seconds	0.06512477
remove	rstack	3	2000	seconds	0.098008334
mix	rstack	3	2000	seconds	0.078805133
insert	rdeque	3	2000	seconds	0.208859435
remove	rdeque	3	2000	seconds	0.328834718
mix	rdeque	3	2000	seconds	0.267927648
insert	rpqueue	3	2000	seconds	0.678227746
remove	rpqueue	3	2000	seconds	0.726257639
mix	rpqueue	3	2000	seconds	0.733275556
insert	rstack	4	2000	seconds	0.066917995
remove	rstack	4	2000	seconds	0.102716626
mix	rstack	4	2000	seconds	0.074744124
insert	rdeque	4	2000	seconds	0.210184144
remove	rdeque	4	2000	seconds	0.331033188
mix	rdeque	4	2000	seconds	0.273401668
insert	rpqueue	4	2000	seconds	0.696457213
remove	rpqueue	4	2000	seconds	0.745906664
mix	rpqueue	4	2000	seconds	0.736669119
insert	rstack	5	2000	seconds	0.065376717
remove	rstack	5	2000	seconds	0.10068816
mix	rstack	5	2000	seconds	0.075283778
insert	rdeque	5	2000	seconds	0.206944383
remove	rdeque	5	2000	seconds	0.324124132
mix	rdeque	5	2000	seconds	0.274438859
insert	rpqueue	5	2000	seconds	0.669807677
remove	rpqueue	5	2000	seconds	0.712926794
mix	rpqueue	5	2000	seconds	0.722527231
